"","primary_com_name","species_group"
"156","African Black Duck","Waterfowl"
"157","Yellow-billed Duck","Waterfowl"
"158","Meller's Duck","Waterfowl"
"159","Pacific Black Duck","Waterfowl"
"160","Laysan Duck","Waterfowl"
"161","Hawaiian Duck","Waterfowl"
"162","Philippine Duck","Waterfowl"
"163","Indian Spot-billed Duck","Waterfowl"
"164","Eastern Spot-billed Duck","Waterfowl"
"165","Mallard","Waterfowl"
"166","Mexican Duck","Waterfowl"
"167","American Black Duck","Waterfowl"
"168","Mottled Duck","Waterfowl"
"169","Cape Teal","Waterfowl"
"170","White-cheeked Pintail","Waterfowl"
"171","Red-billed Duck","Waterfowl"
"172","Northern Pintail","Waterfowl"
"173","Eaton's Pintail","Waterfowl"
"174","Yellow-billed Pintail","Waterfowl"
"175","Green-winged Teal","Waterfowl"
"176","Andean Teal","Waterfowl"
"177","Yellow-billed Teal","Waterfowl"
"178","Mauritius Duck","Waterfowl"
"179","Andaman Teal","Waterfowl"
"180","Sunda Teal","Waterfowl"
"181","Gray Teal","Waterfowl"
"182","Chestnut Teal","Waterfowl"
"183","Bernier's Teal","Waterfowl"
"184","Auckland Islands Teal","Waterfowl"
"185","Campbell Islands Teal","Waterfowl"
"186","Brown Teal","Waterfowl"
"187","Pink-eared Duck","Waterfowl"
"188","Marbled Teal","Waterfowl"
"189","Pink-headed Duck","Waterfowl"
"190","White-winged Duck","Waterfowl"
"191","Red-crested Pochard","Waterfowl"
"192","Southern Pochard","Waterfowl"
"193","Rosy-billed Pochard","Waterfowl"
"194","Canvasback","Waterfowl"
"195","Redhead","Waterfowl"
"196","Common Pochard","Waterfowl"
"197","Ring-necked Duck","Waterfowl"
"198","Ferruginous Duck","Waterfowl"
"199","Madagascar Pochard","Waterfowl"
"200","Baer's Pochard","Waterfowl"
"201","Hardhead","Waterfowl"
"202","Tufted Duck","Waterfowl"
"203","New Zealand Scaup","Waterfowl"
"204","Greater Scaup","Waterfowl"
"205","Lesser Scaup","Waterfowl"
"206","Steller's Eider","Waterfowl"
"207","Spectacled Eider","Waterfowl"
"208","King Eider","Waterfowl"
"209","Common Eider","Waterfowl"
"210","Harlequin Duck","Waterfowl"
"211","Labrador Duck","Waterfowl"
"212","Surf Scoter","Waterfowl"
"213","Velvet Scoter","Waterfowl"
"214","White-winged Scoter","Waterfowl"
"215","Stejneger's Scoter","Waterfowl"
"216","Common Scoter","Waterfowl"
"217","Black Scoter","Waterfowl"
"218","Long-tailed Duck","Waterfowl"
"219","Bufflehead","Waterfowl"
"220","Common Goldeneye","Waterfowl"
"221","Barrow's Goldeneye","Waterfowl"
"222","Smew","Waterfowl"
"223","Hooded Merganser","Waterfowl"
"224","Auckland Islands Merganser","Waterfowl"
"225","Common Merganser","Waterfowl"
"226","Brazilian Merganser","Waterfowl"
"227","Red-breasted Merganser","Waterfowl"
"228","Scaly-sided Merganser","Waterfowl"
"229","Black-headed Duck","Waterfowl"
"230","Masked Duck","Waterfowl"
"231","Ruddy Duck","Waterfowl"
"232","Andean Duck","Waterfowl"
"233","White-headed Duck","Waterfowl"
"234","Maccoa Duck","Waterfowl"
"235","Lake Duck","Waterfowl"
"236","Blue-billed Duck","Waterfowl"
"237","Musk Duck","Waterfowl"
"238","Australian Brushturkey","Megapodes"
"239","Wattled Brushturkey","Megapodes"
"240","Waigeo Brushturkey","Megapodes"
"241","Red-billed Brushturkey","Megapodes"
"242","Yellow-legged Brushturkey","Megapodes"
"243","Red-legged Brushturkey","Megapodes"
"244","Malleefowl","Megapodes"
"245","Maleo","Megapodes"
"246","Moluccan Scrubfowl","Megapodes"
"247","Niuafoou Scrubfowl","Megapodes"
"248","Micronesian Scrubfowl","Megapodes"
"249","Nicobar Scrubfowl","Megapodes"
"250","Tabon Scrubfowl","Megapodes"
"251","Sula Scrubfowl","Megapodes"
"252","Tanimbar Scrubfowl","Megapodes"
"253","Dusky Scrubfowl","Megapodes"
"254","Biak Scrubfowl","Megapodes"
"255","Forsten's Scrubfowl","Megapodes"
"256","Melanesian Scrubfowl","Megapodes"
"257","Vanuatu Scrubfowl","Megapodes"
"258","New Guinea Scrubfowl","Megapodes"
"259","Orange-footed Scrubfowl","Megapodes"
"260","Plain Chachalaca","Chachalacas, Guans, and Curassows"
"261","Gray-headed Chachalaca","Chachalacas, Guans, and Curassows"
"262","Chestnut-winged Chachalaca","Chachalacas, Guans, and Curassows"
