"","primary_com_name","species_group"
"2420","Fulmar Prion","Petrels, Shearwaters, and Diving-Petrels"
"2421","Bulwer's Petrel","Petrels, Shearwaters, and Diving-Petrels"
"2422","Jouanin's Petrel","Petrels, Shearwaters, and Diving-Petrels"
"2423","Small St. Helena Petrel","Petrels, Shearwaters, and Diving-Petrels"
"2424","Fiji Petrel","Petrels, Shearwaters, and Diving-Petrels"
"2425","Mascarene Petrel","Petrels, Shearwaters, and Diving-Petrels"
"2426","Tahiti Petrel","Petrels, Shearwaters, and Diving-Petrels"
"2427","Beck's Petrel","Petrels, Shearwaters, and Diving-Petrels"
"2428","Gray Petrel","Petrels, Shearwaters, and Diving-Petrels"
"2429","White-chinned Petrel","Petrels, Shearwaters, and Diving-Petrels"
"2430","Spectacled Petrel","Petrels, Shearwaters, and Diving-Petrels"
"2431","Parkinson's Petrel","Petrels, Shearwaters, and Diving-Petrels"
"2432","Westland Petrel","Petrels, Shearwaters, and Diving-Petrels"
"2433","Streaked Shearwater","Petrels, Shearwaters, and Diving-Petrels"
"2434","Cory's Shearwater","Petrels, Shearwaters, and Diving-Petrels"
"2435","Cape Verde Shearwater","Petrels, Shearwaters, and Diving-Petrels"
"2436","Pink-footed Shearwater","Petrels, Shearwaters, and Diving-Petrels"
"2437","Flesh-footed Shearwater","Petrels, Shearwaters, and Diving-Petrels"
"2438","Great Shearwater","Petrels, Shearwaters, and Diving-Petrels"
"2439","Wedge-tailed Shearwater","Petrels, Shearwaters, and Diving-Petrels"
"2440","Buller's Shearwater","Petrels, Shearwaters, and Diving-Petrels"
"2441","Sooty Shearwater","Petrels, Shearwaters, and Diving-Petrels"
"2442","Short-tailed Shearwater","Petrels, Shearwaters, and Diving-Petrels"
"2443","Christmas Shearwater","Petrels, Shearwaters, and Diving-Petrels"
"2444","Galapagos Shearwater","Petrels, Shearwaters, and Diving-Petrels"
"2445","Manx Shearwater","Petrels, Shearwaters, and Diving-Petrels"
"2446","Yelkouan Shearwater","Petrels, Shearwaters, and Diving-Petrels"
"2447","Balearic Shearwater","Petrels, Shearwaters, and Diving-Petrels"
"2448","Hutton's Shearwater","Petrels, Shearwaters, and Diving-Petrels"
"2449","Bannerman's Shearwater","Petrels, Shearwaters, and Diving-Petrels"
"2450","Townsend's Shearwater","Petrels, Shearwaters, and Diving-Petrels"
"2451","Newell's Shearwater","Petrels, Shearwaters, and Diving-Petrels"
"2452","Rapa Shearwater","Petrels, Shearwaters, and Diving-Petrels"
"2453","Bryan's Shearwater","Petrels, Shearwaters, and Diving-Petrels"
"2454","Black-vented Shearwater","Petrels, Shearwaters, and Diving-Petrels"
"2455","Fluttering Shearwater","Petrels, Shearwaters, and Diving-Petrels"
"2456","Little Shearwater","Petrels, Shearwaters, and Diving-Petrels"
"2457","Subantarctic Shearwater","Petrels, Shearwaters, and Diving-Petrels"
"2458","Barolo Shearwater","Petrels, Shearwaters, and Diving-Petrels"
"2459","Boyd's Shearwater","Petrels, Shearwaters, and Diving-Petrels"
"2460","Audubon's Shearwater","Petrels, Shearwaters, and Diving-Petrels"
"2461","Tropical Shearwater","Petrels, Shearwaters, and Diving-Petrels"
"2462","Persian Shearwater","Petrels, Shearwaters, and Diving-Petrels"
"2463","Heinroth's Shearwater","Petrels, Shearwaters, and Diving-Petrels"
"2464","Peruvian Diving-Petrel","Petrels, Shearwaters, and Diving-Petrels"
"2465","Common Diving-Petrel","Petrels, Shearwaters, and Diving-Petrels"
"2466","South Georgia Diving-Petrel","Petrels, Shearwaters, and Diving-Petrels"
"2467","Magellanic Diving-Petrel","Petrels, Shearwaters, and Diving-Petrels"
"2468","Asian Openbill","Storks"
"2469","African Openbill","Storks"
"2470","Black Stork","Storks"
"2471","Abdim's Stork","Storks"
"2472","Woolly-necked Stork","Storks"
"2473","Storm's Stork","Storks"
"2474","Maguari Stork","Storks"
"2475","White Stork","Storks"
"2476","Oriental Stork","Storks"
"2477","Black-necked Stork","Storks"
"2478","Saddle-billed Stork","Storks"
"2479","Jabiru","Storks"
"2480","Lesser Adjutant","Storks"
"2481","Marabou Stork","Storks"
"2482","Greater Adjutant","Storks"
"2483","Wood Stork","Storks"
"2484","Milky Stork","Storks"
"2485","Yellow-billed Stork","Storks"
"2486","Painted Stork","Storks"
"2487","Lesser Frigatebird","Frigatebirds, Boobies, and Gannets"
"2488","Ascension Frigatebird","Frigatebirds, Boobies, and Gannets"
"2489","Magnificent Frigatebird","Frigatebirds, Boobies, and Gannets"
"2490","Christmas Island Frigatebird","Frigatebirds, Boobies, and Gannets"
"2491","Great Frigatebird","Frigatebirds, Boobies, and Gannets"
"2492","Masked Booby","Frigatebirds, Boobies, and Gannets"
"2493","Nazca Booby","Frigatebirds, Boobies, and Gannets"
"2494","Blue-footed Booby","Frigatebirds, Boobies, and Gannets"
"2495","Peruvian Booby","Frigatebirds, Boobies, and Gannets"
"2496","Brown Booby","Frigatebirds, Boobies, and Gannets"
"2497","Red-footed Booby","Frigatebirds, Boobies, and Gannets"
"2498","Abbott's Booby","Frigatebirds, Boobies, and Gannets"
"2499","Northern Gannet","Frigatebirds, Boobies, and Gannets"
"2500","Cape Gannet","Frigatebirds, Boobies, and Gannets"
"2501","Australasian Gannet","Frigatebirds, Boobies, and Gannets"
"2502","Anhinga","Cormorants and Anhingas"
"2503","African Darter","Cormorants and Anhingas"
"2504","Oriental Darter","Cormorants and Anhingas"
"2505","Australasian Darter","Cormorants and Anhingas"
"2506","Little Pied Cormorant","Cormorants and Anhingas"
"2507","Long-tailed Cormorant","Cormorants and Anhingas"
"2508","Crowned Cormorant","Cormorants and Anhingas"
"2509","Little Cormorant","Cormorants and Anhingas"
"2510","Pygmy Cormorant","Cormorants and Anhingas"
"2511","Red-legged Cormorant","Cormorants and Anhingas"
"2512","Brandt's Cormorant","Cormorants and Anhingas"
"2513","Red-faced Cormorant","Cormorants and Anhingas"
"2514","Pelagic Cormorant","Cormorants and Anhingas"
"2515","Pallas's Cormorant","Cormorants and Anhingas"
"2516","Bank Cormorant","Cormorants and Anhingas"
"2517","Cape Cormorant","Cormorants and Anhingas"
"2518","Great Cormorant","Cormorants and Anhingas"
"2519","Japanese Cormorant","Cormorants and Anhingas"
"2520","Socotra Cormorant","Cormorants and Anhingas"
"2521","Spotted Shag","Cormorants and Anhingas"
"2522","Pitt Island Shag","Cormorants and Anhingas"
"2523","Indian Cormorant","Cormorants and Anhingas"
"2524","Little Black Cormorant","Cormorants and Anhingas"
"2525","Pied Cormorant","Cormorants and Anhingas"
"2526","Black-faced Cormorant","Cormorants and Anhingas"
"2527","European Shag","Cormorants and Anhingas"
"2528","Flightless Cormorant","Cormorants and Anhingas"
"2529","Double-crested Cormorant","Cormorants and Anhingas"
"2530","Neotropic Cormorant","Cormorants and Anhingas"
"2531","Magellanic Cormorant","Cormorants and Anhingas"
"2532","Guanay Cormorant","Cormorants and Anhingas"
"2533","Bounty Islands Shag","Cormorants and Anhingas"
"2534","New Zealand King Shag","Cormorants and Anhingas"
"2535","Stewart Island Shag","Cormorants and Anhingas"
"2536","Chatham Islands Shag","Cormorants and Anhingas"
"2537","Auckland Islands Shag","Cormorants and Anhingas"
"2538","Campbell Islands Shag","Cormorants and Anhingas"
"2539","South Georgia Shag","Cormorants and Anhingas"
"2540","Imperial Cormorant","Cormorants and Anhingas"
"2541","Antarctic Shag","Cormorants and Anhingas"
"2542","Crozet Shag","Cormorants and Anhingas"
"2543","Kerguelen Shag","Cormorants and Anhingas"
"2544","Heard Island Shag","Cormorants and Anhingas"
"2545","Macquarie Shag","Cormorants and Anhingas"
"2546","American White Pelican","Pelicans"
"2547","Brown Pelican","Pelicans"
"2548","Peruvian Pelican","Pelicans"
"2549","Great White Pelican","Pelicans"
"2550","Australian Pelican","Pelicans"
"2551","Pink-backed Pelican","Pelicans"
"2552","Spot-billed Pelican","Pelicans"
"2553","Dalmatian Pelican","Pelicans"
"2554","Shoebill","Shoebill and Hammerkop"
"2555","Hamerkop","Shoebill and Hammerkop"
"2556","Pinnated Bittern","Herons, Ibis, and Allies"
"2557","American Bittern","Herons, Ibis, and Allies"
"2558","Great Bittern","Herons, Ibis, and Allies"
"2559","Australasian Bittern","Herons, Ibis, and Allies"
"2560","Zigzag Heron","Herons, Ibis, and Allies"
"2561","Yellow Bittern","Herons, Ibis, and Allies"
"2562","Little Bittern","Herons, Ibis, and Allies"
"2563","Black-backed Bittern","Herons, Ibis, and Allies"
"2564","New Zealand Bittern","Herons, Ibis, and Allies"
"2565","Schrenck's Bittern","Herons, Ibis, and Allies"
"2566","Cinnamon Bittern","Herons, Ibis, and Allies"
"2567","Dwarf Bittern","Herons, Ibis, and Allies"
"2568","Black Bittern","Herons, Ibis, and Allies"
"2569","Least Bittern","Herons, Ibis, and Allies"
"2570","Stripe-backed Bittern","Herons, Ibis, and Allies"
"2571","Rufescent Tiger-Heron","Herons, Ibis, and Allies"
"2572","Fasciated Tiger-Heron","Herons, Ibis, and Allies"
"2573","Bare-throated Tiger-Heron","Herons, Ibis, and Allies"
"2574","Forest Bittern","Herons, Ibis, and Allies"
"2575","White-crested Bittern","Herons, Ibis, and Allies"
"2576","Great Blue Heron","Herons, Ibis, and Allies"
"2577","Gray Heron","Herons, Ibis, and Allies"
"2578","Cocoi Heron","Herons, Ibis, and Allies"
"2579","Pacific Heron","Herons, Ibis, and Allies"
"2580","Black-headed Heron","Herons, Ibis, and Allies"
"2581","Humblot's Heron","Herons, Ibis, and Allies"
"2582","White-bellied Heron","Herons, Ibis, and Allies"
"2583","Great-billed Heron","Herons, Ibis, and Allies"
"2584","Goliath Heron","Herons, Ibis, and Allies"
"2585","Purple Heron","Herons, Ibis, and Allies"
"2586","Great Egret","Herons, Ibis, and Allies"
"2587","Intermediate Egret","Herons, Ibis, and Allies"
"2588","White-faced Heron","Herons, Ibis, and Allies"
"2589","Chinese Egret","Herons, Ibis, and Allies"
"2590","Little Egret","Herons, Ibis, and Allies"
"2591","Western Reef-Heron","Herons, Ibis, and Allies"
"2592","Pacific Reef-Heron","Herons, Ibis, and Allies"
"2593","Snowy Egret","Herons, Ibis, and Allies"
"2594","Little Blue Heron","Herons, Ibis, and Allies"
"2595","Tricolored Heron","Herons, Ibis, and Allies"
"2596","Reddish Egret","Herons, Ibis, and Allies"
"2597","Pied Heron","Herons, Ibis, and Allies"
"2598","Slaty Egret","Herons, Ibis, and Allies"
"2599","Black Heron","Herons, Ibis, and Allies"
"2600","Cattle Egret","Herons, Ibis, and Allies"
"2601","Squacco Heron","Herons, Ibis, and Allies"
"2602","Indian Pond-Heron","Herons, Ibis, and Allies"
"2603","Chinese Pond-Heron","Herons, Ibis, and Allies"
"2604","Javan Pond-Heron","Herons, Ibis, and Allies"
"2605","Malagasy Pond-Heron","Herons, Ibis, and Allies"
"2606","Rufous-bellied Heron","Herons, Ibis, and Allies"
"2607","Green Heron","Herons, Ibis, and Allies"
"2608","Striated Heron","Herons, Ibis, and Allies"
"2609","Agami Heron","Herons, Ibis, and Allies"
"2610","Whistling Heron","Herons, Ibis, and Allies"
"2611","Capped Heron","Herons, Ibis, and Allies"
"2612","Reunion Night-Heron","Herons, Ibis, and Allies"
"2613","Mauritius Night-Heron","Herons, Ibis, and Allies"
"2614","Rodrigues Night-Heron","Herons, Ibis, and Allies"
"2615","Black-crowned Night-Heron","Herons, Ibis, and Allies"
"2616","Nankeen Night-Heron","Herons, Ibis, and Allies"
"2617","Yellow-crowned Night-Heron","Herons, Ibis, and Allies"
"2618","Bermuda Night-Heron","Herons, Ibis, and Allies"
"2619","White-backed Night-Heron","Herons, Ibis, and Allies"
"2620","White-eared Night-Heron","Herons, Ibis, and Allies"
"2621","Japanese Night-Heron","Herons, Ibis, and Allies"
"2622","Malayan Night-Heron","Herons, Ibis, and Allies"
"2623","Boat-billed Heron","Herons, Ibis, and Allies"
"2624","White Ibis","Herons, Ibis, and Allies"
"2625","Scarlet Ibis","Herons, Ibis, and Allies"
"2626","Glossy Ibis","Herons, Ibis, and Allies"
"2627","White-faced Ibis","Herons, Ibis, and Allies"
"2628","Puna Ibis","Herons, Ibis, and Allies"
"2629","Madagascar Ibis","Herons, Ibis, and Allies"
"2630","Sharp-tailed Ibis","Herons, Ibis, and Allies"
"2631","Green Ibis","Herons, Ibis, and Allies"
"2632","Bare-faced Ibis","Herons, Ibis, and Allies"
"2633","Plumbeous Ibis","Herons, Ibis, and Allies"
"2634","Buff-necked Ibis","Herons, Ibis, and Allies"
"2635","Black-faced Ibis","Herons, Ibis, and Allies"
"2636","Andean Ibis","Herons, Ibis, and Allies"
"2637","African Sacred Ibis","Herons, Ibis, and Allies"
"2638","Malagasy Sacred Ibis","Herons, Ibis, and Allies"
"2639","Reunion Ibis","Herons, Ibis, and Allies"
"2640","Black-headed Ibis","Herons, Ibis, and Allies"
"2641","Australian Ibis","Herons, Ibis, and Allies"
"2642","Straw-necked Ibis","Herons, Ibis, and Allies"
"2643","Red-naped Ibis","Herons, Ibis, and Allies"
"2644","White-shouldered Ibis","Herons, Ibis, and Allies"
"2645","Giant Ibis","Herons, Ibis, and Allies"
"2646","Northern Bald Ibis","Herons, Ibis, and Allies"
"2647","Southern Bald Ibis","Herons, Ibis, and Allies"
"2648","Crested Ibis","Herons, Ibis, and Allies"
"2649","Olive Ibis","Herons, Ibis, and Allies"
"2650","Sao Tome Ibis","Herons, Ibis, and Allies"
"2651","Spot-breasted Ibis","Herons, Ibis, and Allies"
"2652","Hadada Ibis","Herons, Ibis, and Allies"
"2653","Wattled Ibis","Herons, Ibis, and Allies"
"2654","Eurasian Spoonbill","Herons, Ibis, and Allies"
"2655","Royal Spoonbill","Herons, Ibis, and Allies"
"2656","African Spoonbill","Herons, Ibis, and Allies"
"2657","Black-faced Spoonbill","Herons, Ibis, and Allies"
"2658","Yellow-billed Spoonbill","Herons, Ibis, and Allies"
"2659","Roseate Spoonbill","Herons, Ibis, and Allies"
"2660","California Condor","Vultures, Hawks, and Allies"
"2661","Andean Condor","Vultures, Hawks, and Allies"
"2662","King Vulture","Vultures, Hawks, and Allies"
"2663","Black Vulture","Vultures, Hawks, and Allies"
"2664","Turkey Vulture","Vultures, Hawks, and Allies"
"2665","Lesser Yellow-headed Vulture","Vultures, Hawks, and Allies"
"2666","Greater Yellow-headed Vulture","Vultures, Hawks, and Allies"
"2667","Secretarybird","Vultures, Hawks, and Allies"
"2668","Osprey","Vultures, Hawks, and Allies"
"2669","Pearl Kite","Vultures, Hawks, and Allies"
"2670","Black-winged Kite","Vultures, Hawks, and Allies"
"2671","Black-shouldered Kite","Vultures, Hawks, and Allies"
"2672","White-tailed Kite","Vultures, Hawks, and Allies"
"2673","Letter-winged Kite","Vultures, Hawks, and Allies"
"2674","Scissor-tailed Kite","Vultures, Hawks, and Allies"
"2675","African Harrier-Hawk","Vultures, Hawks, and Allies"
"2676","Madagascar Harrier-Hawk","Vultures, Hawks, and Allies"
"2677","Palm-nut Vulture","Vultures, Hawks, and Allies"
"2678","Madagascar Serpent-Eagle","Vultures, Hawks, and Allies"
"2679","Bearded Vulture","Vultures, Hawks, and Allies"
"2680","Egyptian Vulture","Vultures, Hawks, and Allies"
"2681","Hook-billed Kite","Vultures, Hawks, and Allies"
"2682","Gray-headed Kite","Vultures, Hawks, and Allies"
"2683","White-collared Kite","Vultures, Hawks, and Allies"
"2684","European Honey-buzzard","Vultures, Hawks, and Allies"
"2685","Sulawesi Honey-buzzard","Vultures, Hawks, and Allies"
"2686","Philippine Honey-buzzard","Vultures, Hawks, and Allies"
"2687","Oriental Honey-buzzard","Vultures, Hawks, and Allies"
"2688","Swallow-tailed Kite","Vultures, Hawks, and Allies"
"2689","Black-breasted Kite","Vultures, Hawks, and Allies"
"2690","Long-tailed Honey-buzzard","Vultures, Hawks, and Allies"
"2691","Black Honey-buzzard","Vultures, Hawks, and Allies"
"2692","Square-tailed Kite","Vultures, Hawks, and Allies"
"2693","African Cuckoo-Hawk","Vultures, Hawks, and Allies"
"2694","Madagascar Cuckoo-Hawk","Vultures, Hawks, and Allies"
"2695","Jerdon's Baza","Vultures, Hawks, and Allies"
"2696","Pacific Baza","Vultures, Hawks, and Allies"
"2697","Black Baza","Vultures, Hawks, and Allies"
"2698","Red-headed Vulture","Vultures, Hawks, and Allies"
"2699","White-headed Vulture","Vultures, Hawks, and Allies"
"2700","Cinereous Vulture","Vultures, Hawks, and Allies"
"2701","Lappet-faced Vulture","Vultures, Hawks, and Allies"
"2702","Hooded Vulture","Vultures, Hawks, and Allies"
"2703","White-backed Vulture","Vultures, Hawks, and Allies"
"2704","White-rumped Vulture","Vultures, Hawks, and Allies"
"2705","Indian Vulture","Vultures, Hawks, and Allies"
"2706","Slender-billed Vulture","Vultures, Hawks, and Allies"
"2707","Rüppell's Griffon","Vultures, Hawks, and Allies"
"2708","Himalayan Griffon","Vultures, Hawks, and Allies"
"2709","Eurasian Griffon","Vultures, Hawks, and Allies"
"2710","Cape Griffon","Vultures, Hawks, and Allies"
"2711","Nicobar Serpent-Eagle","Vultures, Hawks, and Allies"
"2712","Sulawesi Serpent-Eagle","Vultures, Hawks, and Allies"
"2713","Mountain Serpent-Eagle","Vultures, Hawks, and Allies"
"2714","Crested Serpent-Eagle","Vultures, Hawks, and Allies"
"2715","Philippine Serpent-Eagle","Vultures, Hawks, and Allies"
"2716","Andaman Serpent-Eagle","Vultures, Hawks, and Allies"
"2717","Philippine Eagle","Vultures, Hawks, and Allies"
"2718","Bateleur","Vultures, Hawks, and Allies"
"2719","Congo Serpent-Eagle","Vultures, Hawks, and Allies"
"2720","Short-toed Snake-Eagle","Vultures, Hawks, and Allies"
"2721","Beaudouin's Snake-Eagle","Vultures, Hawks, and Allies"
"2722","Black-chested Snake-Eagle","Vultures, Hawks, and Allies"
"2723","Brown Snake-Eagle","Vultures, Hawks, and Allies"
"2724","Fasciated Snake-Eagle","Vultures, Hawks, and Allies"
"2725","Banded Snake-Eagle","Vultures, Hawks, and Allies"
"2726","Bat Hawk","Vultures, Hawks, and Allies"
"2727","New Guinea Eagle","Vultures, Hawks, and Allies"
"2728","Crested Eagle","Vultures, Hawks, and Allies"
"2729","Harpy Eagle","Vultures, Hawks, and Allies"
"2730","Crowned Eagle","Vultures, Hawks, and Allies"
"2731","Changeable Hawk-Eagle","Vultures, Hawks, and Allies"
"2732","Flores Hawk-Eagle","Vultures, Hawks, and Allies"
"2733","Mountain Hawk-Eagle","Vultures, Hawks, and Allies"
"2734","Legge's Hawk-Eagle","Vultures, Hawks, and Allies"
"2735","Blyth's Hawk-Eagle","Vultures, Hawks, and Allies"
"2736","Javan Hawk-Eagle","Vultures, Hawks, and Allies"
"2737","Sulawesi Hawk-Eagle","Vultures, Hawks, and Allies"
"2738","Philippine Hawk-Eagle","Vultures, Hawks, and Allies"
"2739","Pinsker's Hawk-Eagle","Vultures, Hawks, and Allies"
"2740","Wallace's Hawk-Eagle","Vultures, Hawks, and Allies"
"2741","Martial Eagle","Vultures, Hawks, and Allies"
"2742","Rufous-bellied Eagle","Vultures, Hawks, and Allies"
"2743","Black Hawk-Eagle","Vultures, Hawks, and Allies"
"2744","Ornate Hawk-Eagle","Vultures, Hawks, and Allies"
"2745","Black-and-white Hawk-Eagle","Vultures, Hawks, and Allies"
"2746","Black-and-chestnut Eagle","Vultures, Hawks, and Allies"
"2747","Long-crested Eagle","Vultures, Hawks, and Allies"
"2748","Black Eagle","Vultures, Hawks, and Allies"
"2749","Lesser Spotted Eagle","Vultures, Hawks, and Allies"
"2750","Indian Spotted Eagle","Vultures, Hawks, and Allies"
"2751","Greater Spotted Eagle","Vultures, Hawks, and Allies"
"2752","Wahlberg's Eagle","Vultures, Hawks, and Allies"
"2753","Booted Eagle","Vultures, Hawks, and Allies"
"2754","Pygmy Eagle","Vultures, Hawks, and Allies"
"2755","Little Eagle","Vultures, Hawks, and Allies"
"2756","Ayres's Hawk-Eagle","Vultures, Hawks, and Allies"
"2757","Tawny Eagle","Vultures, Hawks, and Allies"
"2758","Steppe Eagle","Vultures, Hawks, and Allies"
"2759","Spanish Eagle","Vultures, Hawks, and Allies"
"2760","Imperial Eagle","Vultures, Hawks, and Allies"
"2761","Gurney's Eagle","Vultures, Hawks, and Allies"
"2762","Golden Eagle","Vultures, Hawks, and Allies"
"2763","Wedge-tailed Eagle","Vultures, Hawks, and Allies"
"2764","Cassin's Hawk-Eagle","Vultures, Hawks, and Allies"
"2765","Verreaux's Eagle","Vultures, Hawks, and Allies"
"2766","Bonelli's Eagle","Vultures, Hawks, and Allies"
"2767","African Hawk-Eagle","Vultures, Hawks, and Allies"
"2768","Lizard Buzzard","Vultures, Hawks, and Allies"
"2769","Dark Chanting-Goshawk","Vultures, Hawks, and Allies"
"2770","Eastern Chanting-Goshawk","Vultures, Hawks, and Allies"
"2771","Pale Chanting-Goshawk","Vultures, Hawks, and Allies"
"2772","Gabar Goshawk","Vultures, Hawks, and Allies"
"2773","Black-collared Hawk","Vultures, Hawks, and Allies"
"2774","Snail Kite","Vultures, Hawks, and Allies"
"2775","Slender-billed Kite","Vultures, Hawks, and Allies"
"2776","Double-toothed Kite","Vultures, Hawks, and Allies"
"2777","Rufous-thighed Kite","Vultures, Hawks, and Allies"
"2778","Mississippi Kite","Vultures, Hawks, and Allies"
"2779","Plumbeous Kite","Vultures, Hawks, and Allies"
"2780","Grasshopper Buzzard","Vultures, Hawks, and Allies"
"2781","White-eyed Buzzard","Vultures, Hawks, and Allies"
"2782","Rufous-winged Buzzard","Vultures, Hawks, and Allies"
"2783","Gray-faced Buzzard","Vultures, Hawks, and Allies"
"2784","Eurasian Marsh-Harrier","Vultures, Hawks, and Allies"
"2785","African Marsh-Harrier","Vultures, Hawks, and Allies"
"2786","Eastern Marsh-Harrier","Vultures, Hawks, and Allies"
"2787","Papuan Marsh-Harrier","Vultures, Hawks, and Allies"
"2788","Swamp Harrier","Vultures, Hawks, and Allies"
"2789","Reunion Harrier","Vultures, Hawks, and Allies"
"2790","Malagasy Harrier","Vultures, Hawks, and Allies"
"2791","Long-winged Harrier","Vultures, Hawks, and Allies"
"2792","Spotted Harrier","Vultures, Hawks, and Allies"
"2793","Black Harrier","Vultures, Hawks, and Allies"
"2794","Cinereous Harrier","Vultures, Hawks, and Allies"
"2795","Hen Harrier","Vultures, Hawks, and Allies"
"2796","Northern Harrier","Vultures, Hawks, and Allies"
"2797","Pallid Harrier","Vultures, Hawks, and Allies"
"2798","Pied Harrier","Vultures, Hawks, and Allies"
"2799","Montagu's Harrier","Vultures, Hawks, and Allies"
"2800","Gray-bellied Hawk","Vultures, Hawks, and Allies"
"2801","Crested Goshawk","Vultures, Hawks, and Allies"
"2802","Sulawesi Goshawk","Vultures, Hawks, and Allies"
"2803","Red-chested Goshawk","Vultures, Hawks, and Allies"
"2804","African Goshawk","Vultures, Hawks, and Allies"
"2805","Chestnut-flanked Sparrowhawk","Vultures, Hawks, and Allies"
"2806","Shikra","Vultures, Hawks, and Allies"
"2807","Nicobar Sparrowhawk","Vultures, Hawks, and Allies"
"2808","Levant Sparrowhawk","Vultures, Hawks, and Allies"
"2809","Chinese Sparrowhawk","Vultures, Hawks, and Allies"
"2810","Frances's Sparrowhawk","Vultures, Hawks, and Allies"
"2811","Spot-tailed Goshawk","Vultures, Hawks, and Allies"
"2812","Variable Goshawk","Vultures, Hawks, and Allies"
"2813","Gray Goshawk","Vultures, Hawks, and Allies"
"2814","Brown Goshawk","Vultures, Hawks, and Allies"
"2815","Black-mantled Goshawk","Vultures, Hawks, and Allies"
"2816","Pied Goshawk","Vultures, Hawks, and Allies"
"2817","New Caledonia Goshawk","Vultures, Hawks, and Allies"
"2818","Fiji Goshawk","Vultures, Hawks, and Allies"
"2819","Moluccan Goshawk","Vultures, Hawks, and Allies"
"2820","Slaty-mantled Goshawk","Vultures, Hawks, and Allies"
"2821","Imitator Sparrowhawk","Vultures, Hawks, and Allies"
"2822","Gray-headed Goshawk","Vultures, Hawks, and Allies"
"2823","New Britain Goshawk","Vultures, Hawks, and Allies"
"2824","Tiny Hawk","Vultures, Hawks, and Allies"
"2825","Semicollared Hawk","Vultures, Hawks, and Allies"
"2826","Red-thighed Sparrowhawk","Vultures, Hawks, and Allies"
"2827","Little Sparrowhawk","Vultures, Hawks, and Allies"
"2828","Japanese Sparrowhawk","Vultures, Hawks, and Allies"
"2829","Small Sparrowhawk","Vultures, Hawks, and Allies"
"2830","Besra","Vultures, Hawks, and Allies"
"2831","Rufous-necked Sparrowhawk","Vultures, Hawks, and Allies"
"2832","Collared Sparrowhawk","Vultures, Hawks, and Allies"
"2833","New Britain Sparrowhawk","Vultures, Hawks, and Allies"
"2834","Vinous-breasted Sparrowhawk","Vultures, Hawks, and Allies"
"2835","Madagascar Sparrowhawk","Vultures, Hawks, and Allies"
"2836","Ovambo Sparrowhawk","Vultures, Hawks, and Allies"
"2837","Eurasian Sparrowhawk","Vultures, Hawks, and Allies"
"2838","Rufous-breasted Sparrowhawk","Vultures, Hawks, and Allies"
"2839","Sharp-shinned Hawk","Vultures, Hawks, and Allies"
"2840","Cooper's Hawk","Vultures, Hawks, and Allies"
"2841","Gundlach's Hawk","Vultures, Hawks, and Allies"
"2842","Bicolored Hawk","Vultures, Hawks, and Allies"
"2843","Black Goshawk","Vultures, Hawks, and Allies"
"2844","Henst's Goshawk","Vultures, Hawks, and Allies"
"2845","Northern Goshawk","Vultures, Hawks, and Allies"
"2846","Meyer's Goshawk","Vultures, Hawks, and Allies"
"2847","Chestnut-shouldered Goshawk","Vultures, Hawks, and Allies"
"2848","Red Goshawk","Vultures, Hawks, and Allies"
"2849","Doria's Goshawk","Vultures, Hawks, and Allies"
"2850","Long-tailed Hawk","Vultures, Hawks, and Allies"
"2851","Red Kite","Vultures, Hawks, and Allies"
"2852","Black Kite","Vultures, Hawks, and Allies"
"2853","Whistling Kite","Vultures, Hawks, and Allies"
"2854","Brahminy Kite","Vultures, Hawks, and Allies"
"2855","Bald Eagle","Vultures, Hawks, and Allies"
"2856","White-tailed Eagle","Vultures, Hawks, and Allies"
"2857","Pallas's Fish-Eagle","Vultures, Hawks, and Allies"
"2858","Steller's Sea-Eagle","Vultures, Hawks, and Allies"
"2859","White-bellied Sea-Eagle","Vultures, Hawks, and Allies"
"2860","Sanford's Sea-Eagle","Vultures, Hawks, and Allies"
"2861","African Fish-Eagle","Vultures, Hawks, and Allies"
"2862","Madagascar Fish-Eagle","Vultures, Hawks, and Allies"
"2863","Lesser Fish-Eagle","Vultures, Hawks, and Allies"
"2864","Gray-headed Fish-Eagle","Vultures, Hawks, and Allies"
"2865","Crane Hawk","Vultures, Hawks, and Allies"
"2866","Plumbeous Hawk","Vultures, Hawks, and Allies"
"2867","Slate-colored Hawk","Vultures, Hawks, and Allies"
"2868","Common Black Hawk","Vultures, Hawks, and Allies"
"2869","Cuban Black Hawk","Vultures, Hawks, and Allies"
"2870","Rufous Crab Hawk","Vultures, Hawks, and Allies"
"2871","Savanna Hawk","Vultures, Hawks, and Allies"
"2872","White-necked Hawk","Vultures, Hawks, and Allies"
"2873","Great Black Hawk","Vultures, Hawks, and Allies"
"2874","Solitary Eagle","Vultures, Hawks, and Allies"
"2875","Chaco Eagle","Vultures, Hawks, and Allies"
"2876","Barred Hawk","Vultures, Hawks, and Allies"
"2877","Roadside Hawk","Vultures, Hawks, and Allies"
"2878","Harris's Hawk","Vultures, Hawks, and Allies"
"2879","White-rumped Hawk","Vultures, Hawks, and Allies"
"2880","White-tailed Hawk","Vultures, Hawks, and Allies"
"2881","Variable Hawk","Vultures, Hawks, and Allies"
"2882","Black-chested Buzzard-Eagle","Vultures, Hawks, and Allies"
"2883","Mantled Hawk","Vultures, Hawks, and Allies"
"2884","White Hawk","Vultures, Hawks, and Allies"
